Gender,Dependent_Count,Marital_Status,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Attrition_Flag
M,1,Single,Blue,6,2,2,1.826,18,1.571,Existing Customer
M,3,Unknown,Blue,3,2,0,1.024,36,1.118,Existing Customer
M,3,Single,Blue,4,1,4,1.873,25,0.786,Existing Customer
M,1,Married,Blue,4,6,3,0.712,24,1,Existing Customer
F,2,Married,Blue,3,2,3,0.816,38,1,Existing Customer
M,2,Single,Blue,3,2,2,1.004,13,0.625,Existing Customer
F,1,Married,Blue,4,1,0,0.766,29,0.611,Existing Customer
M,1,Married,Blue,3,2,2,1.584,38,1.533,Existing Customer
F,3,Single,Blue,4,3,3,0.566,47,0.382,Existing Customer
M,2,Single,Silver,2,3,2,0.526,42,0.355,Existing Customer
M,3,Single,Blue,4,2,2,0.676,24,0.846,Existing Customer
M,4,Single,Blue,6,1,0,0.567,30,0.364,Existing Customer
M,2,Married,Blue,3,3,2,0.622,23,0.353,Attrited Customer
M,2,Single,Blue,3,1,2,0.846,29,1.417,Existing Customer
F,1,Unknown,Silver,4,2,2,0.7,30,0.765,Existing Customer
F,1,Married,Blue,5,1,2,0.788,16,0.778,Existing Customer
M,4,Married,Blue,5,1,2,0.632,16,2.2,Existing Customer
M,4,Married,Blue,3,2,3,1.186,28,1.545,Existing Customer
M,1,Married,Blue,3,1,4,1.541,34,0.7,Existing Customer
M,2,Single,Blue,2,1,3,0.541,32,1,Existing Customer
F,3,Single,Blue,3,1,0,0.688,27,0.929,Existing Customer
M,2,Divorced,Blue,5,3,2,0.839,26,0.733,Existing Customer
M,4,Divorced,Blue,5,1,0,1.689,42,1.211,Existing Customer
F,1,Married,Blue,6,2,3,1.236,29,1.231,Existing Customer
F,2,Single,Blue,4,2,2,0.939,19,0.727,Existing Customer
F,5,Married,Blue,1,3,3,0.654,18,0.8,Attrited Customer
M,1,Single,Blue,6,2,3,0.649,18,0.636,Existing Customer
M,4,Married,Blue,2,3,2,1.996,25,1.5,Existing Customer
F,1,Single,Blue,3,2,3,0.397,20,0.667,Existing Customer
M,1,Single,Blue,2,3,3,0.71,10,1,Attrited Customer
F,4,Married,Blue,3,2,3,0.76,16,0.455,Attrited Customer
F,2,Single,Blue,6,3,2,1.162,31,2.875,Existing Customer
M,2,Married,Blue,3,2,0,1.317,34,1,Existing Customer
F,4,Married,Blue,4,1,3,0.728,30,1.308,Existing Customer
M,2,Married,Blue,4,1,3,0.572,39,0.625,Existing Customer
M,3,Single,Blue,5,1,0,1.047,22,0.467,Existing Customer
M,1,Married,Blue,5,2,3,1.255,32,1.909,Existing Customer
F,1,Single,Silver,2,2,3,0.868,22,0.571,Existing Customer
M,4,Single,Blue,6,2,2,0.469,29,1.231,Existing Customer
F,1,Married,Blue,4,2,3,2.121,26,1.364,Existing Customer
F,5,Married,Blue,3,3,3,0.786,28,0.75,Existing Customer
F,4,Single,Blue,6,1,3,1.373,29,0.812,Existing Customer
M,1,Married,Blue,6,1,3,0.554,27,0.8,Existing Customer
F,2,Married,Silver,4,3,2,1.3,24,2.429,Existing Customer
F,4,Divorced,Blue,2,3,1,0.971,29,0.706,Existing Customer
M,0,Married,Blue,5,2,1,1.009,28,1,Existing Customer
F,1,Single,Blue,2,3,3,0.852,31,0.824,Existing Customer
M,1,Married,Blue,3,2,2,1.248,38,2.167,Existing Customer
F,4,Divorced,Blue,6,5,3,0.508,24,0.263,Existing Customer
F,4,Married,Blue,5,2,3,1.077,28,1.333,Existing Customer
F,3,Married,Blue,3,1,2,0.682,30,0.429,Existing Customer
F,3,Married,Blue,4,1,0,0.993,29,0.706,Existing Customer
F,4,Married,Blue,3,3,3,1.456,23,2.286,Existing Customer
M,5,Single,Blue,6,3,3,0.658,17,0.7,Attrited Customer
M,3,Married,Blue,5,2,2,0.776,53,0.828,Existing Customer
F,4,Divorced,Blue,4,3,3,0.86,37,1.467,Existing Customer
F,1,Married,Blue,6,3,3,0.567,28,0.75,Existing Customer
M,2,Married,Blue,2,2,1,0.713,20,0.25,Attrited Customer
M,2,Married,Silver,3,1,3,0.588,34,0.789,Existing Customer
F,3,Married,Blue,4,1,2,0.644,34,0.478,Existing Customer
F,5,Divorced,Blue,5,2,2,0.791,28,0.867,Existing Customer
M,3,Married,Blue,2,1,2,1.432,47,0.88,Existing Customer
F,1,Married,Blue,4,3,2,2.053,32,1,Existing Customer
F,2,Single,Silver,6,3,0,0.706,22,1.444,Existing Customer
F,1,Married,Blue,4,2,3,0.35,28,0.556,Existing Customer
M,2,Married,Blue,3,2,1,1.791,18,0.8,Existing Customer
M,3,Married,Blue,6,2,3,0.948,24,1,Existing Customer
F,1,Married,Blue,5,3,0,1.334,36,1,Existing Customer
M,1,Married,Blue,6,2,2,0.747,25,1.273,Existing Customer
M,3,Married,Blue,2,1,2,0.949,50,1.083,Existing Customer
F,3,Single,Blue,6,2,1,0.646,27,0.286,Existing Customer
M,3,Single,Blue,3,1,0,1.161,33,0.941,Existing Customer
F,0,Single,Blue,5,1,3,0.782,33,0.571,Existing Customer
F,2,Married,Blue,5,1,2,0.701,28,0.867,Existing Customer
F,2,Married,Blue,6,1,3,0.688,32,0.684,Existing Customer
M,1,Married,Blue,5,3,1,1.768,24,3,Existing Customer
M,4,Unknown,Blue,5,2,0,0.731,35,0.591,Existing Customer
F,3,Married,Blue,4,2,3,0.896,37,0.762,Existing Customer
M,3,Married,Blue,3,3,0,1.097,52,0.529,Existing Customer
F,5,Married,Blue,5,1,1,0.971,42,0.556,Existing Customer
F,3,Married,Blue,2,1,2,0.819,22,0.571,Existing Customer
M,0,Unknown,Blue,3,2,3,0.829,21,1.1,Existing Customer
M,3,Married,Blue,3,3,1,1.642,42,0.75,Existing Customer
M,0,Married,Blue,1,3,2,0.743,21,0.615,Attrited Customer
M,1,Married,Blue,4,1,2,1.242,22,1.444,Existing Customer
M,4,Married,Blue,5,3,0,0.869,42,0.75,Existing Customer
M,5,Married,Blue,4,5,3,0.619,27,0.8,Existing Customer
M,3,Married,Blue,4,5,3,1.509,41,0.519,Existing Customer
M,4,Married,Silver,3,2,1,0.623,27,0.5,Existing Customer
M,2,Married,Silver,4,2,2,0.505,32,0.684,Existing Customer
F,1,Divorced,Silver,3,2,2,0.504,27,0.8,Existing Customer
F,2,Married,Blue,2,4,3,0.707,27,0.421,Attrited Customer
M,2,Married,Blue,3,3,3,0.688,24,0.5,Attrited Customer
M,1,Married,Blue,2,1,2,1.259,37,0.947,Existing Customer
M,2,Married,Blue,2,3,0,1.071,48,0.714,Existing Customer
F,2,Married,Blue,4,1,2,0.93,26,1.167,Existing Customer
M,0,Unknown,Silver,3,2,3,1.327,26,1.364,Existing Customer
M,3,Married,Blue,5,3,3,0.869,40,1.105,Existing Customer
M,3,Single,Blue,4,2,2,0.615,37,0.762,Existing Customer
M,4,Married,Blue,5,3,2,0.908,21,1.333,Existing Customer
M,2,Single,Blue,3,2,3,0.531,24,0.714,Existing Customer
F,4,Single,Blue,5,2,0,0.638,32,0.455,Existing Customer
M,4,Married,Blue,5,1,2,0.971,32,0.882,Existing Customer
M,3,Married,Blue,6,1,2,0.603,33,0.737,Existing Customer
F,3,Divorced,Silver,4,1,3,2.368,25,1.273,Existing Customer
M,2,Single,Blue,2,1,3,0.579,43,1.263,Existing Customer
F,1,Married,Blue,5,1,0,1.008,22,1,Existing Customer
M,4,Single,Blue,5,3,0,0.569,24,0.714,Existing Customer
F,3,Divorced,Blue,6,2,3,0.616,20,0.538,Existing Customer
F,2,Divorced,Blue,5,2,2,0.859,29,1.071,Existing Customer
M,2,Single,Blue,4,3,0,0.75,24,0.846,Existing Customer
M,3,Single,Blue,4,1,2,0.81,26,0.625,Existing Customer
F,2,Divorced,Silver,6,4,2,0.853,38,0.357,Existing Customer
F,2,Married,Blue,3,1,3,0.604,38,0.407,Existing Customer
M,2,Married,Blue,4,3,3,0.613,18,0.8,Existing Customer
F,1,Married,Blue,4,4,3,0.838,12,0.714,Attrited Customer
M,2,Married,Blue,2,3,0,1.727,21,2,Existing Customer
M,5,Single,Blue,5,2,2,1.073,26,1,Existing Customer
M,3,Divorced,Blue,6,2,2,0.921,50,0.923,Existing Customer
M,1,Single,Blue,6,3,3,0.767,25,0.923,Existing Customer
M,2,Married,Blue,4,3,2,1.207,27,1.455,Existing Customer
M,1,Married,Blue,2,3,3,0.723,17,0.7,Attrited Customer
M,3,Unknown,Blue,3,3,3,0.483,27,0.35,Existing Customer
M,2,Married,Blue,5,3,3,0.538,33,0.941,Existing Customer
M,4,Single,Blue,4,1,2,0.621,36,2.273,Existing Customer
F,2,Married,Blue,2,3,3,0.993,30,0.667,Attrited Customer
M,2,Single,Blue,4,2,2,1.148,25,0.667,Existing Customer
M,5,Married,Blue,2,2,3,0.734,21,0.615,Attrited Customer
F,2,Married,Blue,1,3,2,0.789,24,0.6,Attrited Customer
M,2,Married,Blue,6,2,3,0.939,49,0.69,Existing Customer
M,3,Single,Blue,2,2,2,0.912,33,0.65,Existing Customer
F,3,Single,Blue,6,3,2,0.343,36,0.636,Existing Customer
M,4,Married,Blue,3,3,3,0.98,19,0.727,Attrited Customer
M,3,Married,Blue,4,1,2,1.018,25,0.923,Existing Customer
M,2,Single,Blue,5,1,2,0.435,35,0.167,Existing Customer
M,3,Single,Blue,4,1,2,0.868,28,0.647,Existing Customer
M,0,Married,Blue,5,3,2,1.363,34,1.615,Existing Customer
M,3,Unknown,Blue,6,3,4,0.538,27,0.588,Existing Customer
M,0,Single,Blue,2,4,3,0.616,17,0.545,Attrited Customer
M,0,Married,Blue,3,2,3,0.581,15,0.875,Existing Customer
F,2,Married,Blue,4,3,3,0.969,26,1.6,Existing Customer
M,4,Single,Blue,4,1,0,0.769,34,1.125,Existing Customer
M,1,Single,Blue,4,2,2,0.609,38,0.462,Existing Customer
F,2,Single,Blue,2,3,0,0.456,28,0.75,Existing Customer
M,1,Married,Blue,6,3,2,0.73,29,0.611,Existing Customer
M,2,Unknown,Blue,2,2,3,0.854,39,1.294,Existing Customer
F,0,Married,Blue,1,4,1,1.038,23,0.353,Attrited Customer
M,4,Married,Blue,6,3,2,0.655,17,1.125,Existing Customer
F,1,Married,Blue,2,3,2,1.53,40,1,Existing Customer
M,2,Married,Blue,5,1,3,0.707,23,1.3,Existing Customer
F,2,Married,Blue,5,2,2,0.708,20,0.538,Existing Customer
F,3,Unknown,Blue,2,2,2,0.701,22,1.444,Existing Customer
F,4,Divorced,Blue,6,3,2,0.617,33,1.357,Existing Customer
F,0,Married,Blue,1,3,3,1.021,18,0.385,Attrited Customer
M,5,Married,Blue,3,3,3,0.923,18,3.5,Existing Customer
M,3,Single,Blue,6,1,3,0.549,41,0.519,Existing Customer
M,2,Divorced,Blue,5,3,0,0.795,31,1.067,Existing Customer
M,0,Married,Blue,6,2,2,0.814,32,0.684,Existing Customer
M,4,Single,Blue,4,3,0,0.838,16,1.286,Existing Customer
M,3,Single,Blue,4,3,3,0.826,32,0.524,Existing Customer
F,4,Married,Blue,2,2,2,0.759,30,1.143,Existing Customer
M,2,Single,Blue,1,1,2,0.898,18,1,Attrited Customer
F,4,Married,Blue,4,2,0,0.84,33,0.737,Existing Customer
M,4,Divorced,Blue,5,2,2,1.302,31,1.214,Existing Customer
F,4,Married,Blue,3,1,3,0.587,22,1,Existing Customer
M,1,Single,Silver,4,3,2,1.117,34,2.4,Existing Customer
M,4,Unknown,Blue,4,3,0,0.859,24,1.667,Existing Customer
F,1,Married,Blue,5,2,3,1.434,21,1.625,Existing Customer
F,2,Married,Blue,3,3,1,1.129,14,0.273,Attrited Customer
M,0,Married,Blue,3,1,2,2.145,33,1.538,Existing Customer
M,0,Married,Blue,2,1,0,1.015,41,0.783,Existing Customer
M,2,Married,Blue,3,3,3,0.953,25,0.786,Attrited Customer
F,4,Single,Blue,6,3,2,0.771,30,0.765,Existing Customer
F,4,Married,Blue,6,2,2,0.491,21,0.235,Attrited Customer
F,3,Married,Blue,2,2,3,0.89,45,0.607,Existing Customer
M,3,Single,Blue,2,3,2,0.955,27,0.588,Existing Customer
F,4,Single,Blue,2,3,2,0.587,33,0.571,Existing Customer
M,2,Married,Blue,3,4,3,0.631,36,1.118,Existing Customer
M,2,Unknown,Blue,5,1,2,0.607,28,0.556,Existing Customer
M,2,Single,Blue,6,3,0,1.178,37,2.083,Existing Customer
M,0,Married,Blue,5,1,3,1.859,29,1.417,Existing Customer
M,2,Married,Blue,5,3,2,0.799,41,0.783,Existing Customer
F,0,Married,Blue,5,2,3,0.728,31,0.632,Existing Customer
F,1,Unknown,Blue,2,3,0,0.888,24,1,Existing Customer
M,3,Single,Blue,2,3,2,0.612,26,0.368,Existing Customer
M,0,Single,Silver,5,2,3,0.804,27,2,Existing Customer
M,2,Married,Blue,5,3,2,0.869,30,1.308,Existing Customer
M,3,Divorced,Blue,6,3,0,0.657,26,0.444,Existing Customer
M,4,Married,Gold,2,2,3,0.722,32,0.455,Existing Customer
M,3,Married,Blue,5,2,2,0.963,44,0.76,Existing Customer
M,2,Married,Blue,3,3,0,0.816,40,0.538,Existing Customer
F,3,Married,Blue,4,1,1,0.742,43,0.536,Existing Customer
M,4,Single,Blue,6,3,2,0.776,23,0.438,Existing Customer
M,2,Single,Blue,2,3,2,0.788,37,0.423,Existing Customer
F,4,Married,Blue,2,1,1,0.697,31,2.1,Existing Customer
M,2,Married,Blue,2,2,2,0.885,28,1.154,Existing Customer
M,0,Married,Blue,3,2,0,0.984,33,1.2,Existing Customer
M,2,Single,Blue,5,2,2,0.656,29,0.611,Existing Customer
F,3,Married,Blue,5,6,2,1.32,42,1,Existing Customer
M,3,Married,Blue,2,3,3,0.798,11,0.833,Attrited Customer
F,2,Single,Blue,2,3,2,1.084,29,1.417,Existing Customer
M,3,Married,Blue,5,3,2,0.374,27,0.5,Existing Customer
F,0,Married,Blue,4,2,1,1.256,36,0.565,Existing Customer
F,4,Married,Blue,4,2,0,0.541,28,0.647,Existing Customer
M,2,Married,Blue,5,5,2,0.645,33,0.833,Existing Customer
M,0,Married,Blue,4,2,1,1.012,55,0.719,Existing Customer
M,3,Single,Silver,3,2,3,0.448,13,0.182,Existing Customer
F,2,Divorced,Blue,4,1,2,0.549,22,1.75,Existing Customer
M,2,Single,Silver,3,3,3,1.32,23,1.875,Existing Customer
F,2,Married,Blue,3,3,0,1.252,23,1.875,Existing Customer
M,3,Married,Blue,4,3,3,0.952,35,0.944,Existing Customer
M,1,Married,Blue,3,2,2,0.685,49,0.581,Existing Customer
F,2,Married,Blue,3,3,2,0.617,22,1.444,Existing Customer
M,3,Unknown,Blue,6,2,2,0.627,31,0.824,Existing Customer
F,3,Married,Blue,4,3,3,0.944,36,1,Existing Customer
F,3,Single,Blue,5,2,0,0.581,16,0.333,Existing Customer
F,1,Single,Blue,4,1,3,0.816,28,1,Existing Customer
F,4,Single,Blue,4,1,0,0.574,46,0.643,Existing Customer
F,1,Single,Blue,3,1,2,1.051,24,0.714,Existing Customer
M,5,Divorced,Silver,5,3,3,0.771,38,0.727,Existing Customer
M,1,Married,Blue,6,3,2,0.986,32,0.882,Existing Customer
F,1,Married,Blue,4,3,3,1.707,29,0.812,Existing Customer
M,2,Married,Blue,4,3,2,0.821,26,0.444,Attrited Customer
F,3,Married,Blue,3,2,1,1.315,32,0.6,Existing Customer
M,1,Married,Blue,5,3,3,1.031,38,1,Existing Customer
F,4,Single,Blue,5,1,2,1.027,43,0.87,Existing Customer
M,2,Married,Blue,6,3,0,0.827,25,0.786,Existing Customer
M,3,Single,Blue,6,3,3,0.62,22,0.692,Existing Customer
M,1,Married,Blue,2,4,3,0.819,13,0.182,Attrited Customer
M,0,Married,Blue,3,1,2,1.223,49,1.227,Existing Customer
M,1,Married,Blue,3,2,3,0.507,31,0.938,Existing Customer
F,3,Married,Blue,6,1,0,1.269,34,1.833,Existing Customer
M,2,Single,Blue,5,3,2,0.541,32,0.6,Existing Customer
M,5,Married,Blue,5,3,3,0.994,38,0.652,Existing Customer
F,0,Married,Blue,5,1,2,1.227,34,0.789,Existing Customer
M,2,Married,Blue,4,4,2,1.019,32,1.462,Existing Customer
F,3,Divorced,Blue,3,1,3,1.049,32,0.6,Existing Customer
M,3,Married,Blue,5,3,2,0.751,29,0.812,Existing Customer
F,2,Single,Blue,6,2,0,0.939,39,1.167,Existing Customer
M,1,Single,Blue,6,3,2,0.683,38,0.583,Existing Customer
M,4,Single,Blue,6,2,3,1.166,22,1.444,Existing Customer
M,1,Married,Blue,3,2,0,0.797,39,1.167,Existing Customer
M,3,Single,Blue,3,2,2,0.703,34,1.125,Existing Customer
F,0,Married,Blue,4,1,3,1.503,31,0.722,Existing Customer
M,2,Married,Blue,6,3,2,0.837,32,0.524,Existing Customer
F,1,Married,Blue,6,3,4,1.068,41,1.05,Existing Customer
M,2,Single,Blue,5,1,0,1.284,31,0.938,Existing Customer
M,4,Single,Blue,6,3,3,0.788,47,0.679,Existing Customer
F,2,Married,Blue,6,2,3,0.431,22,0.375,Existing Customer
F,2,Married,Blue,6,3,2,0.844,27,0.588,Existing Customer
M,4,Married,Blue,3,3,3,0.762,23,1.091,Existing Customer
F,4,Married,Blue,6,3,3,0.999,15,2.75,Existing Customer
F,2,Married,Blue,5,2,2,1.052,31,1.385,Existing Customer
F,2,Single,Blue,5,3,0,0.93,31,0.938,Existing Customer
M,2,Married,Blue,5,3,2,0.572,25,0.786,Existing Customer
M,0,Married,Blue,3,3,2,0.685,27,0.286,Existing Customer
M,4,Married,Blue,5,3,0,0.566,33,0.737,Existing Customer
F,4,Single,Blue,6,2,3,0.974,30,1.308,Existing Customer
F,4,Married,Blue,3,5,3,0.817,35,1.188,Existing Customer
F,1,Single,Blue,4,2,0,0.886,39,0.444,Existing Customer
F,4,Single,Blue,6,3,2,0.921,48,1,Existing Customer
M,4,Married,Blue,6,3,3,0.828,24,1.182,Existing Customer
M,3,Married,Blue,5,3,2,0.751,32,0.391,Existing Customer
M,1,Married,Blue,5,2,3,1.174,28,1,Existing Customer
F,3,Single,Gold,3,2,3,0.556,28,0.867,Existing Customer
F,2,Married,Silver,4,2,0,0.484,29,0.261,Existing Customer
M,4,Married,Blue,6,2,3,0.711,37,1.176,Existing Customer
M,2,Unknown,Blue,6,2,3,0.778,37,0.762,Existing Customer
M,2,Married,Blue,4,3,3,0.996,23,1.3,Existing Customer
F,1,Married,Blue,6,3,2,0.728,37,1.312,Existing Customer
M,2,Married,Blue,3,2,3,0.616,34,0.619,Existing Customer
M,4,Unknown,Blue,2,5,3,1.087,15,0.364,Attrited Customer
M,1,Married,Blue,3,3,2,0.578,25,0.667,Existing Customer
M,0,Married,Blue,6,1,0,0.794,27,0.588,Existing Customer
F,2,Married,Blue,3,2,3,0.979,37,0.947,Existing Customer
M,2,Married,Blue,6,2,2,0.644,26,1,Existing Customer
F,3,Single,Blue,6,1,2,0.944,53,0.656,Existing Customer
M,3,Married,Blue,5,1,3,1.521,29,1.636,Existing Customer
F,4,Divorced,Blue,6,1,1,0.597,33,0.5,Existing Customer
F,1,Married,Blue,5,3,3,1.052,57,0.727,Existing Customer
M,3,Single,Blue,3,1,0,1.087,38,1.235,Existing Customer
M,4,Married,Silver,5,1,2,0.637,38,0.727,Existing Customer
M,3,Unknown,Blue,3,3,1,0.693,25,0.923,Existing Customer
M,0,Married,Blue,5,3,3,1.095,27,0.929,Existing Customer
M,1,Single,Blue,5,2,2,0.791,39,0.444,Existing Customer
M,1,Unknown,Blue,6,3,3,0.638,21,0.4,Existing Customer
M,2,Married,Blue,3,3,3,1.045,17,0.7,Attrited Customer
